ひとのうみ	人の海	名詞
ふちはせとなる	淵は瀬となる	名詞
かぜふけばきやすからず	風吹けば木安からず	名詞
ひふたいじゅをうごかす	蜉大樹を撼かす	名詞
うさぎをみてたかをはなつ	兎を見て鷹を放つ	名詞
けぎらい	毛嫌い	名詞
りにかってひにおちる	理に勝って非に落ちる	名詞
せいじんはものにぎょうたいせず	聖人は物に凝滞せず	名詞
さじょうのろうかく	砂上の楼閣	名詞
つのがはえる	角が生える	名詞
おんばひがさおんばひからかさ	乳母日傘	名詞
ちしゅこうかい	置酒高会	名詞
おとこじょたいにうじがわく	男所帯に蛆が湧く	名詞
あわれをとどむ	哀れを留む	名詞
ひじをはる	肘を張る	名詞
はらをくだす	腹を下す	名詞
われかひとか	我か人か	名詞
めざとい	目敏い	名詞
ほれたはれたはとうざのうち	惚れた腫れたは当座のうち	名詞
いちにとらあり	市に虎あり	名詞
あさはか	浅墓	名詞
ゆびをおしみてたなごころをうしなうてのひらを～	指を惜しみて掌を失う	名詞
はなおちてのちしちじゅうごにちはじめてそのみをくらうべし	花落ちて後七十五日始めて其の実食らうべし	名詞
せいうんのこころざし	青雲の志	名詞
たいざんをわきばさんでほっかいをこゆ	泰山を挟んで北海を超ゆ	名詞
しらはりのちょうちん	白張りの提灯	名詞
つつがなし	恙無し	名詞
としをくう	年を食う	名詞
りょうめがあく	両目が開く	名詞
つらにどろをぬる	面に泥を塗る	名詞
またにかける	股に掛ける	名詞
げすのちえはあとから	下衆の知恵は後から	名詞
さわりさんびゃく	触り三百	名詞
やみからうしをひきだす	闇から牛を引き出す	名詞
ひとはおちめがだいじ	人は落目が大事	名詞
うよきょくせつ	紆余曲折	名詞
かみはひれいをうけず	神は非礼を受けず	名詞
ねこにこばん	猫に小判	名詞
さけののまれる	酒に飲まれる	名詞
しせんをこえて	死線を越えて	名詞
ちとなりにくとなる	血となり肉となる	名詞
やくせきのこうなし	薬石の効なし	名詞
わらをたく	藁を焚く	名詞
きのみきのまま	着の身着の儘	名詞
こしょうのまるのみ	胡椒の丸飲み	名詞
おんなはよわしされどはははつよし	女は弱しされど母は強し	名詞
たからのもちぐされ	宝の持ち腐れ	名詞
かたをつける	方を付ける	名詞
そでかわす	袖交わす	名詞
しゅのへそをさぐる	主の臍を探る	名詞
ばかになる	馬鹿になる	名詞
こういっつい	好一対	名詞
なますにたたく	膾に叩く	名詞
ものぐさ	物臭	名詞
きょうかんじごく	叫喚地獄	名詞
めりこむ	減り込む	名詞
ごりおし	ごり押し	名詞
しんめんもくしんめんぼく	真面目	名詞
めがくれる	目が眩れる	名詞
あしをかさねてたちめをそばだててみる	足を重ねて立ち目を側だてて視る	名詞
めをむく	目を剥く	名詞
いちじんのあめ	一陣の雨	名詞
きもいり	肝煎り	名詞
じゅうをえてひとをうしなう	獣を得て人を失う	名詞
しりをもちこむ	尻を持ち込む	名詞
きがかるい	気が軽い	名詞
うおせんり	魚千里	名詞
ろくしすいしゅ	鹿死誰手	名詞
こおりのころも	氷の衣	名詞
わしづかみ	鷲掴み	名詞
たまごをわたる	卵を渡る	名詞
とらのこわたし	虎の子渡し	名詞
いんにとず	陰に閉ず	名詞
すいゆかず	騅逝かず	名詞
すいとうのり	錐刀の利	名詞
ことばのうらくぎをかえす	言葉の裏釘を返す	名詞
